web-scraper-order,web-scraper-start-url,name,name-href,all critic,all critic-href,review,Rating,Genre,language,Release Date (Theaters),Release Date (Streaming),Distributor
"1676881775-29724","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","","","","PG (Smoking|Language|Suggestive Material)","","","","",""
"1676881775-29725","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","","","","","Comedy, 
                        
                        Drama","","","",""
"1676881775-29726","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","","","","","","English","","",""
"1676881775-29727","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","","","","","","","","Aug 2, 2022",""
"1676881775-29728","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","","","","","","","","","Focus Features"
"1676881798-29729","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","A pleasant, hopeful experience that could even end up bringing a couple of tears to certain members of the audience (I was VERY close to crying at one point). Full review in Spanish.","","","","","",""
"1676881798-29730","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","Mrs. Harris Goes to Paris movingly weaves a tale about finding an outer beauty that reflects the purity of heart within. It’s as pleasant as you want a movie like this to be, yet it does so without simplification that patronizes the audience.","","","","","",""
"1676881798-29731","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","This is almost pure wish fulfilment fantasy, but it's delivered with confidence and style.","","","","","",""
"1676881798-29732","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","...a thoroughly agreeable endeavor that benefits from the superb efforts of Manville and her various costars...","","","","","",""
"1676881798-29733","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","It takes a lot of sophistication to keep a film like this from becoming cloying. Mrs. Harris Goes to Paris is the champagne of nicecore.","","","","","",""
"1676881798-29734","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","... Makes you feel at ease, like having a snack by the stove in a cozy room. [Full review in Spanish]","","","","","",""
"1676881798-29735","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","Anthony Fabian wagers the tone of the Paddington movies, with a Wes Anderson aesthetic and Mike Leigh's vindicating spirit. [Full review in Spanish]","","","","","",""
"1676881798-29736","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","A film in which Manville pulls out all her weapons as a professional actress,  shining well above the story she leads by herself to its happy ending. [Full review in Spanish]","","","","","",""
"1676881798-29737","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","What takes it from a watch-on-a-plane movie to a must-see matinee is a galvanizing and endearing performance by Manville.","","","","","",""
"1676881798-29738","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","There is much to be enjoyed, but this might ultimately prove too disposable for its own good. The film works best as an escapist fairytale and as such, it’s ravishing.","","","","","",""
"1676881798-29739","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","Mrs. Harris Goes to Paris substitutes the yearning for a man's love with a dress. [Full review in Spanish]","","","","","",""
"1676881798-29740","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","Such an endeavour won’t change the course of cinema, but, my word, will it make you feel special; and, right now, that’s more than enough of a reason to support this European excursion.","","","","","",""
"1676881798-29741","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","It's a familiar formula but that's part of the charm.","","","","","",""
"1676881798-29742","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","The film’s designers spent a lot of time exploring the Dior archives and it shows. It’s Mrs Harris’s story, but it’s also a fond tribute to a world that has changed beyond recognition.","","","","","",""
"1676881798-29743","https://editorial.rottentomatoes.com/guide/best-2022-movies/","Mrs. Harris Goes to Paris","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris","View All Critic Reviews (173)","https://www.rottentomatoes.com/m/mrs_harris_goes_to_paris/reviews","Mrs Harris Goes to Paris takes its audience on a whimsical journey from London to Paris imbued with charm, wit and a sprinkling of fairytale escapism, punctuated by some French revolutionary spirit.","","","","","",""
